Name,Water,Toughskin,Timid,Tail,Strength,Stalker,Spots,Speed,Smart,Size,Quadrupedal,Paws,Pads,Oldworld,Nocturnal,Newworld,Muscle,Mountains,Lean,Jungle,Inactive,Hunter,Hibernate,Hairless,Grazer,Furry,Forest,Forager,Fierce,Domestic,Coastal,Bulbous,Bipedal,Arctic,Agility,Active
Buffalo,9.38,42.36,19.88,5.39,50.81,0,0,24.79,10,84.91,61.82,0,0,18.33,0,55.83,21.13,4.63,0,0,29,6.67,0,6.46,54.04,39.24,0,23.67,26.99,2.31,0,50.83,0,0,4.38,18.94
Zebra,0,20.8,53.25,61.43,29.85,0,0,70.85,22.63,48.82,89,0,0,90.92,0,5.42,38.76,10,38.74,10,20,4.17,0,7.69,78.67,36.4,8.75,32.08,0,9.94,0,11.88,0,0,29.52,42.51
Giant Panda,1.25,10,65.84,9.03,46.11,6.25,24.17,5,37.3,75.01,55.2,70.55,41.61,84.4,9.63,29.17,17.69,18.12,1.25,45.65,53.51,3.75,18.66,0,41.84,84.15,48.03,40.63,6.25,29.58,5.14,70.22,48.68,5,10,5.5
Deer,0,18.22,67.49,43.85,23.88,0,48.08,73.73,40.05,39.88,68.71,0,0,45.19,2.63,62.18,32.58,25.16,42.52,0,1.25,5.26,0,0,69.35,52.33,69.22,23.91,0,10.27,4.85,0,0,1.39,62,50
Bobcat,0,2.5,0,64.5,32.99,66.98,33.55,73.97,42.89,19.93,74.25,62.75,22.81,42.75,20.73,51.79,47.3,50.56,42.51,17.08,6.38,81.44,28.02,0,0,64.71,30.95,36.97,71.95,3.75,1.39,0,0,6.67,71.74,61.13
Pig,3.87,51.37,27.85,40.56,27.44,0,21.23,16.24,23.04,48.17,68,7.5,7.5,41.02,2.5,53.27,14.4,6.25,0,2.5,38.78,1.79,0,43.7,9.42,17.05,2.5,31.63,25.48,48.95,10,54.21,1.25,3.75,3.52,15.53
Lion,0,16.25,4.38,62.22,77.19,77.34,0,65.47,25.7,71.88,65.55,67.66,27.81,66.02,9.77,10.94,50.94,21.25,22.81,63.05,36.88,76.56,0,5,7.5,67.03,22.5,30.94,70.47,3.75,3.75,23.12,2.5,0,43.52,33.44
Mouse,0,1.25,50,70.04,0,0.62,6.25,55.15,12.42,0,45.35,35.15,0,53.33,29.31,58.23,0.62,4.06,7.5,0,3.12,2.5,26.07,11.56,21.25,51.94,32.09,15.38,1.25,27.64,0,10,2.5,0,30.66,44.45
Polar Bear,45.9,22.29,3.75,10,77.08,30.38,0,38.68,16.25,85.49,66.04,66.04,26.25,31.25,10,44.38,16.25,1.25,0,0,29.38,56.32,58.12,0,0,81.94,0,34.38,70.35,5,48.96,53.75,25,96.88,24.38,36.25
Collie,0,1.25,43.09,67.09,19.55,3.75,9.09,49.05,42.17,26.31,70.14,76.17,12.95,40.72,0,55.39,15.34,12.5,21.02,0,1.88,22.27,0,0,0,78.21,0,6.16,5.25,79.11,6.25,8.07,0.62,0,32.05,54.26
Walrus,62.3,62.06,29.43,20.76,49.94,10,13.12,24.76,23.96,76.46,11.88,6.88,2.5,16.88,2.5,38.06,16.55,0,9.11,0,52.14,20.36,6.88,45.94,0.25,18.99,0,8.12,20,18.75,38.78,82.08,7.19,81.45,14.68,8.78
Raccoon,2.08,3.41,2.27,69.78,10.62,8.98,22.87,38.21,48.68,7.5,66.87,61.36,22.08,24.7,70.56,60.2,13.11,25.86,0,0,4.17,10.89,29.83,0,3.41,67.37,63.95,53.74,34.46,5,13.12,16.46,3.41,0,36.09,70.54
Cow,0.55,42.45,47.87,62.77,47.02,0,31.35,10.89,13.97,68.31,62.42,3.8,7.61,61.57,7.14,61.94,18.63,9.17,5.13,0.59,44.12,0,0,19.46,60.89,32.05,10.21,5.24,3.34,72.99,8.76,35.81,0,0,16.06,20.93
Dolphin,71.4,39.21,21.06,41.85,41.88,6.24,0.8,59.09,60.38,47.82,4.8,0,0,56.41,0.62,57.1,26.29,0,28.2,0,1.72,20.01,0,73.27,0.75,0.62,0,8.86,10.73,37.98,24.07,14.81,7.69,20.34,50.56,53.15
